Decimal Year,Value
2012.3278689,-0.76836
2012.3469945,-0.720027
2012.3661202,-0.81998
2012.3852459,-0.754659
2012.4043716,-0.587082
2012.4234973,-0.752068
2012.442623,-0.683654
2012.4617486,-0.495098
2012.4808743,-0.411254
2012.5,-0.530271
2012.5191257,-0.471389
2012.5382514,-0.393011
2012.557377,-0.31175
2012.5765027,-0.212685
2012.5956284,-0.261607
2012.6147541,-0.170229
2012.6338798,-0.138392
2012.6530055,-0.214717
2012.6721311,-0.242221
2012.6912568,-0.228231
2012.7103825,-0.203052
2012.7295082,-0.134825
2012.7486339,0.040061
2012.7677596,0.007973
2012.7868852,-0.090571
2012.8060109,-0.130873
2012.8251366,-0.233262
2012.8442623,-0.183921
2012.863388,-0.138133
2012.8825137,-0.235757
2012.9016393,-0.275383
2012.920765,-0.316629
2012.9398907,-0.418238
2012.9590164,-0.433813
2012.9781421,-0.452653
2012.9972678,-0.561807
2013.0164384,-0.54494
2013.0356164,-0.661281
2013.0547945,-0.647226
2013.0739726,-0.599088
2013.0931507,-0.390423
2013.1123288,-0.449649
2013.1315068,-0.606314
2013.1506849,-0.73515
2013.169863,-0.593175
2013.1890411,-0.576577
2013.2082192,-0.668941
2013.2273973,-0.627522
2013.2657534,-0.645114
2013.2849315,-0.678317
2013.3041096,-0.646076
2013.3232877,-0.707201
2013.3424658,-0.798055
2013.3616438,-0.85837
2013.3808219,-0.876341
2013.4,-0.766092
2013.4191781,-0.827236
2013.4383562,-0.761843
2013.4575342,-0.79733
2013.4767123,-0.638211
2013.4958904,-0.732108
2013.5150685,-0.636405
2013.5342466,-0.600207
2013.5534247,-0.567393
2013.5726027,-0.481633
2013.5917808,-0.534139
2013.6109589,-0.607633
2013.630137,-0.588735
2013.6493151,-0.504949
2013.6684932,-0.45022
2013.7068493,-0.552386
2013.7260274,-0.531658
2013.7452055,-0.523898
2013.7643836,-0.471096
2013.7835616,-0.440748
2013.8027397,-0.329951
2013.8219178,-0.268689
2013.8410959,-0.165933
2013.860274,-0.099239
2013.8794521,-0.107405
2013.8986301,-0.300233
2013.9178082,-0.271957
2013.9369863,-0.339915
2013.9561644,-0.38234
2013.9753425,-0.448991
2013.9945205,-0.507722
2014.0136986,-0.433217
2014.0328767,-0.390568
2014.0520548,-0.366644
2014.0712329,-0.312573
2014.090411,-0.10704
2014.109589,-0.099973
2014.1287671,-0.041546
2014.1479452,0.164165
2014.1671233,0.467817
2014.1863014,0.599056
2014.2054795,0.684069
2014.2246575,0.781855
2014.2438356,0.722581
2014.2630137,0.815464
2014.2821918,0.805286
2014.3013699,0.839572
2014.3205479,0.884963
2014.339726,0.852227
2014.3589041,0.868501
